# k power
1.000000000000000048e-04 2.114386867353743582e+03
1.011591112223829728e-04 2.137908952814396343e+03
1.023316578330244966e-04 2.161692129750191725e+03
1.035177955630176228e-04 2.185739205010874684e+03
1.047176819485520245e-04 2.210053126600387714e+03
1.059314763518370031e-04 2.234636810134171355e+03
1.071593399822671198e-04 2.259493227532324909e+03
1.084014359178331018e-04 2.284625375649245598e+03
1.096579291267809898e-04 2.310036285211127051e+03
1.109289864895222780e-04 2.335729019691382291e+03
1.122147768207980290e-04 2.361706675534642727e+03
1.135154708920999033e-04 2.387972382747546817e+03
1.148312414543511137e-04 2.414529305125047813e+03
1.161622632608501891e-04 2.441380640653436330e+03
1.175087130904807617e-04 2.468529621857626807e+03
1.188707697711903309e-04 2.495979516167582915e+03
1.202486142037412301e-04 2.523733626285789342e+03
1.216424293857368039e-04 2.551795290558512534e+03
1.230524004359261579e-04 2.580167883350934062e+03
1.244787146187906256e-04 2.608854815426118876e+03
1.259215613694150942e-04 2.637859534328084465e+03
1.273811323186478520e-04 2.667185524766719027e+03
1.288576213185518003e-04 2.696836309014733615e+03
1.303512244681508938e-04 2.726815447283465801e+03
1.318621401394748458e-04 2.757126538163158784e+03
1.333905690039058638e-04 2.787773218978736168e+03
1.349367140588306430e-04 2.818759166061381620e+03
1.365007806546013845e-04 2.850088095891294870e+03
1.380829765218092263e-04 2.881763755720749032e+03
1.396835117988739626e-04 2.913789924110365064e+03
1.413025990599533599e-04 2.946170417454648486e+03
1.429404533431761061e-04 2.978909093068479706e+03
1.445972921792019463e-04 3.012009848913538008e+03
1.462733356201129868e-04 3.045476624148839164e+03
1.479688062686396383e-04 3.079313399543053038e+03
1.496839293077255632e-04 3.113524197878889481e+03
1.514189325304352018e-04 3.148113084385109687e+03
1.531740463702079740e-04 3.183084167159937351e+03
1.549495039314631646e-04 3.218441597603245555e+03
1.567455410205595065e-04 3.254189570850797281e+03
1.585623961771137158e-04 3.290332326213925171e+03
1.604003107056819902e-04 3.326874147622271721e+03
1.622595287078087002e-04 3.363819364070966913e+03
1.641402971144466361e-04 3.401172350072249174e+03
1.660428657187529582e-04 3.438937526110526960e+03
1.679674872092653225e-04 3.477119359103171519e+03
1.699144172034625999e-04 3.515722362863293711e+03
1.718839142817145534e-04 3.554751098568753150e+03
1.738762400216250527e-04 3.594210175235002680e+03
1.758916590327732731e-04 3.634104250191371193e+03
1.779304389918577296e-04 3.674438029561288658e+03
1.799928506782476454e-04 3.715216268761825177e+03
1.820791680099462359e-04 3.756443772930957493e+03
1.841896680799710861e-04 3.798125397631890337e+03
1.863246311931559835e-04 3.840266048824789323e+03
1.884843409033795474e-04 3.882870684204900044e+03
1.906690840512252085e-04 3.925944312871621605e+03
1.928791508020777693e-04 3.969491973698021866e+03
1.951148346846616412e-04 4.013518737802030046e+03
1.973764326300255292e-04 4.058029723108791131e+03
1.996642450109793374e-04 4.103030100987189144e+03
2.019785756819878484e-04 4.148525094452095800e+03
2.043197320195270594e-04 4.194519979378485004e+03
2.066880249629082160e-04 4.241020084809529180e+03
2.090837690555749911e-04 4.288030793460323366e+03
2.115072824868794756e-04 4.335557542216884940e+03
2.139588871343421563e-04 4.383605822621181687e+03
2.164389086064020347e-04 4.432181181371114690e+03
2.189476762856620634e-04 4.481289220819930051e+03
2.214855233726359179e-04 4.530935599480112614e+03
2.240527869300018224e-04 4.581126032531389683e+03
2.266498079273692845e-04 4.631866292332184457e+03
2.292769312865648647e-04 4.683162208934736555e+03
2.319345059274427543e-04 4.735019670604093335e+03
2.346228848142262321e-04 4.787444624341344934e+03
2.373424250023866149e-04 4.840443076409425885e+03
2.400934876860651764e-04 4.894021092863970807e+03
2.428764382460450548e-04 4.948184800088924021e+03
2.456916462982790305e-04 5.002940385329597120e+03
2.485394857429798422e-04 5.058294097244074692e+03
2.514203348142796828e-04 5.114252246446061690e+03
2.543345761304648361e-04 5.170821205986715540e+03
2.572825967447932359e-04 5.228007412290512548e+03
2.602647881969004482e-04 5.285817364306069976e+03
2.632815465648020189e-04 5.344257627985976796e+03
2.663332725174980963e-04 5.403334827120091177e+03
2.694203713681882413e-04 5.463055612381772335e+03
2.725432531281027707e-04 5.523426656209494467e+03
2.757023325609582747e-04 5.584454690843273966e+03
2.788980292380439777e-04 5.646146513235318707e+03
2.821307675939470740e-04 5.708508982894602923e+03
2.854009769829237591e-04 5.771549023672595467e+03
2.887090917359234400e-04 5.835273623781426977e+03
2.920555512182745244e-04 5.899689836399825253e+03
2.954407998880379709e-04 5.964804780136196314e+03
2.988652873550382482e-04 6.030625639512571979e+03
3.023294684405776131e-04 6.097159665455234972e+03
3.058338032378431388e-04 6.164414175781513222e+03
3.093787571730136510e-04 6.232396555690943387e+03
3.129648010670750265e-04 6.301114258257019173e+03
3.165924111983520412e-04 6.370574804920331189e+03
3.202620693657650080e-04 6.440785785983618553e+03
3.239742629528195514e-04 6.511754861107917350e+03
3.277294849923381931e-04 6.583489759810344367e+03
3.315282342319423150e-04 6.655998281963009504e+03
3.353710152002928996e-04 6.729288298292681247e+03
3.392583382740992125e-04 6.803367750885220630e+03
3.431907197459042598e-04 6.878244653679586918e+03
3.471686818926559680e-04 6.953927092995767453e+03
3.511927530450727588e-04 7.030423227989071165e+03
3.552634676578139260e-04 7.107741291209053088e+03
3.593813663804625697e-04 7.185889589292256460e+03
3.635469961293317630e-04 7.264876502020935732e+03
3.677609101601030626e-04 7.344710488757642452e+03
3.720236681413065759e-04 7.425400068423376979e+03
3.763358362286532656e-04 7.506953775122177831e+03
3.806979871402283821e-04 7.589380145863573489e+03
3.851107002325568655e-04 7.672687791724522867e+03
3.895745615775500948e-04 7.756885394281879599e+03
3.940901640403447737e-04 7.841981706031337126e+03
3.986581073580438726e-04 7.927985551527562166e+03
4.032789982193705223e-04 8.014905827248802780e+03
4.079534503452448896e-04 8.102751502117956989e+03
4.126820845702952015e-04 8.191531617780639863e+03
4.174655289253134888e-04 8.281255288947757435e+03
4.223044187206672164e-04 8.371931703719919824e+03
4.271993966306776428e-04 8.463570123911398696e+03
4.321511127789761839e-04 8.556179885369807380e+03
4.371602248248502198e-04 8.649770398292677783e+03
4.422273980505897289e-04 8.744351147540315651e+03
4.473533054498462949e-04 8.839931692944073802e+03
4.525386278170166862e-04 8.936521669612331607e+03
4.577840538376616304e-04 9.034130788230741018e+03
