# redshift, dNdz, bias
0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000000000e+00
1.000000000000000021e-03 5.842417020115178022e-02 1.500000000000000000e+00
2.000000000000000042e-03 2.330107503297516869e-01 1.500000000000000000e+00
3.000000000000000062e-03 5.227353745897443948e-01 1.500000000000000000e+00
4.000000000000000083e-03 9.265796934362231507e-01 1.500000000000000000e+00
5.000000000000000104e-03 1.443531344137391148e+00 1.500000000000000000e+00
6.000000000000000125e-03 2.072583921466145451e+00 1.500000000000000000e+00
7.000000000000000146e-03 2.812736948520755398e+00 1.500000000000000000e+00
8.000000000000000167e-03 3.662995847674110017e+00 1.500000000000000000e+00
9.000000000000001055e-03 4.622371911650985155e+00 1.500000000000000000e+00
1.000000000000000021e-02 5.689882274732831036e+00 1.500000000000000000e+00
1.099999999999999936e-02 6.864549884089538700e+00 1.500000000000000000e+00
1.200000000000000025e-02 8.145403471237669280e+00 1.500000000000000000e+00
1.300000000000000114e-02 9.531477523624607429e+00 1.500000000000000000e+00
1.400000000000000029e-02 1.102181225633817263e+01 1.500000000000000000e+00
1.499999999999999944e-02 1.261545358394109506e+01 1.500000000000000000e+00
1.600000000000000033e-02 1.431145309242992170e+01 1.500000000000000000e+00
1.700000000000000122e-02 1.610886801131775314e+01 1.500000000000000000e+00
1.800000000000000211e-02 1.800676118584041774e+01 1.500000000000000000e+00
1.899999999999999953e-02 2.000420104928542386e+01 1.500000000000000000e+00
2.000000000000000042e-02 2.210026159544336721e+01 1.500000000000000000e+00
2.100000000000000130e-02 2.429402235118107356e+01 1.500000000000000000e+00
2.199999999999999872e-02 2.658456834913618039e+01 1.500000000000000000e+00
2.299999999999999961e-02 2.897099010053256407e+01 1.500000000000000000e+00
2.400000000000000050e-02 3.145238356811601932e+01 1.500000000000000000e+00
2.500000000000000139e-02 3.402785013920988177e+01 1.500000000000000000e+00
2.600000000000000228e-02 3.669649659889007864e+01 1.500000000000000000e+00
2.699999999999999969e-02 3.945743510327879733e+01 1.500000000000000000e+00
2.800000000000000058e-02 4.230978315295683956e+01 1.500000000000000000e+00
2.900000000000000147e-02 4.525266356649360233e+01 1.500000000000000000e+00
2.999999999999999889e-02 4.828520445409461814e+01 1.500000000000000000e+00
3.099999999999999978e-02 5.140653919136600081e+01 1.500000000000000000e+00
3.200000000000000067e-02 5.461580639319517161e+01 1.500000000000000000e+00
3.300000000000000155e-02 5.791214988774778760e+01 1.500000000000000000e+00
3.400000000000000244e-02 6.129471869057987021e+01 1.500000000000000000e+00
3.500000000000000333e-02 6.476266697886521229e+01 1.500000000000000000e+00
3.600000000000000422e-02 6.831515406573700488e+01 1.500000000000000000e+00
3.699999999999999817e-02 7.195134437474379752e+01 1.500000000000000000e+00
3.799999999999999906e-02 7.567040741441884677e+01 1.500000000000000000e+00
3.899999999999999994e-02 7.947151775296262599e+01 1.500000000000000000e+00
4.000000000000000083e-02 8.335385499303789913e+01 1.500000000000000000e+00
4.100000000000000172e-02 8.731660374667721669e+01 1.500000000000000000e+00
4.200000000000000261e-02 9.135895361030178208e+01 1.500000000000000000e+00
4.300000000000000350e-02 9.548009913985171693e+01 1.500000000000000000e+00
4.399999999999999745e-02 9.967923982602727051e+01 1.500000000000000000e+00
4.499999999999999833e-02 1.039555800696400922e+02 1.500000000000000000e+00
4.599999999999999922e-02 1.083083291570744962e+02 1.500000000000000000e+00
4.700000000000000011e-02 1.127367012358579927e+02 1.500000000000000000e+00
4.800000000000000100e-02 1.172399152903412443e+02 1.500000000000000000e+00
4.900000000000000189e-02 1.218171951174857526e+02 1.500000000000000000e+00
5.000000000000000278e-02 1.264677693027604732e+02 1.500000000000000000e+00
